trial,epoch,winRate,tieRate
0,0,0.32,0.0
0,2,0.3,0.0
0,4,0.16,0.0
0,6,0.0,0.84
0,8,0.0,0.82
0,10,0.0,0.72
0,12,0.0,0.82
0,14,0.16,0.0
0,16,0.0,0.76
0,18,0.32,0.0
0,20,0.94,0.02
0,22,0.28,0.0
0,24,0.22,0.0
0,26,0.0,0.84
0,28,0.0,0.78
0,30,0.0,0.72
0,32,0.0,0.76
0,34,0.0,0.82
0,36,0.0,0.74
0,38,0.0,0.74
0,40,0.0,0.7
0,42,0.0,0.76
0,44,0.0,0.76
0,46,0.0,0.82
0,48,0.0,0.8
1,0,0.9,0.06
1,2,0.28,0.0
1,4,0.28,0.0
1,6,0.38,0.0
1,8,0.0,0.72
1,10,0.38,0.0
1,12,0.24,0.0
1,14,0.16,0.0
1,16,0.16,0.0
1,18,0.18,0.0
1,20,0.2,0.0
1,22,0.2,0.0
1,24,0.18,0.0
1,26,0.22,0.0
1,28,0.24,0.0
1,30,0.12,0.0
1,32,0.14,0.0
1,34,0.2,0.0
1,36,0.22,0.0
1,38,0.22,0.0
1,40,0.22,0.0
1,42,0.24,0.0
1,44,0.26,0.0
1,46,0.16,0.0
1,48,0.24,0.0
2,0,0.0,0.82
2,2,0.22,0.0
2,4,0.9,0.1
2,6,0.24,0.0
2,8,0.96,0.04
2,10,0.22,0.0
2,12,0.88,0.08
2,14,0.86,0.12
2,16,0.96,0.04
2,18,0.9,0.1
2,20,0.92,0.08
2,22,0.34,0.0
2,24,0.22,0.0
2,26,0.92,0.02
2,28,0.82,0.14
2,30,0.88,0.1
2,32,0.84,0.16
2,34,0.92,0.06
2,36,0.82,0.16
2,38,0.9,0.1
2,40,0.9,0.1
2,42,0.82,0.14
2,44,0.9,0.08
2,46,0.88,0.1
2,48,0.92,0.06
3,0,0.32,0.0
3,2,0.0,0.82
3,4,0.92,0.08
3,6,0.0,0.8
3,8,0.9,0.1
3,10,0.28,0.0
3,12,0.96,0.02
3,14,0.94,0.06
3,16,0.9,0.06
3,18,0.86,0.14
3,20,0.84,0.1
3,22,0.92,0.06
3,24,0.9,0.08
3,26,0.86,0.14
3,28,0.9,0.06
3,30,0.88,0.08
3,32,0.88,0.12
3,34,0.94,0.04
3,36,0.8,0.18
3,38,0.92,0.08
3,40,0.92,0.08
3,42,0.88,0.12
3,44,0.94,0.04
3,46,0.82,0.12
3,48,0.9,0.08
4,0,0.22,0.0
4,2,0.12,0.0
4,4,0.16,0.0
4,6,0.24,0.0
4,8,0.22,0.0
4,10,0.2,0.0
4,12,0.22,0.0
4,14,0.16,0.0
4,16,0.34,0.0
4,18,0.92,0.06
4,20,0.08,0.0
4,22,0.16,0.0
4,24,0.1,0.0
4,26,0.16,0.0
4,28,0.2,0.0
4,30,0.28,0.0
4,32,0.24,0.0
4,34,0.18,0.0
4,36,0.0,0.72
4,38,0.0,0.7
4,40,0.0,0.82
4,42,0.0,0.78
4,44,0.0,0.68
4,46,0.0,0.74
4,48,0.0,0.84
5,0,0.2,0.0
5,2,0.32,0.0
5,4,0.88,0.08
5,6,0.22,0.0
5,8,0.18,0.0
5,10,0.9,0.08
5,12,0.2,0.0
5,14,0.22,0.0
5,16,0.28,0.0
5,18,0.22,0.0
5,20,0.92,0.06
5,22,0.94,0.04
5,24,0.78,0.16
5,26,0.88,0.12
5,28,0.88,0.1
5,30,0.82,0.18
5,32,0.92,0.08
5,34,0.86,0.1
5,36,0.94,0.06
5,38,0.9,0.06
5,40,0.9,0.06
5,42,0.88,0.12
5,44,0.88,0.1
5,46,0.96,0.04
5,48,0.9,0.06
6,0,0.18,0.0
6,2,0.3,0.0
6,4,0.0,0.62
6,6,0.82,0.12
6,8,0.22,0.0
6,10,0.3,0.0
6,12,0.96,0.04
6,14,0.34,0.0
6,16,0.92,0.06
6,18,0.3,0.0
6,20,0.3,0.0
6,22,0.92,0.08
6,24,0.3,0.0
6,26,0.2,0.0
6,28,0.94,0.04
6,30,0.24,0.0
6,32,0.36,0.0
6,34,0.3,0.0
6,36,0.2,0.0
6,38,0.26,0.0
6,40,0.32,0.0
6,42,0.22,0.0
6,44,0.32,0.0
6,46,0.3,0.0
6,48,0.32,0.0
7,0,0.92,0.06
7,2,0.94,0.06
7,4,0.14,0.0
7,6,0.32,0.0
7,8,0.88,0.12
7,10,0.88,0.1
7,12,0.28,0.0
7,14,0.28,0.0
7,16,0.22,0.0
7,18,0.88,0.1
7,20,0.9,0.1
7,22,0.94,0.04
7,24,0.82,0.18
7,26,0.82,0.18
7,28,0.92,0.08
7,30,0.88,0.12
7,32,0.94,0.04
7,34,0.88,0.06
7,36,0.88,0.08
7,38,0.94,0.06
7,40,0.9,0.08
7,42,0.84,0.14
7,44,0.86,0.08
7,46,0.86,0.12
7,48,0.88,0.1
8,0,0.24,0.0
8,2,0.0,0.8
8,4,0.32,0.0
8,6,0.3,0.0
8,8,0.18,0.0
8,10,0.92,0.04
8,12,0.86,0.1
8,14,0.22,0.0
8,16,0.2,0.0
8,18,0.34,0.0
8,20,0.84,0.14
8,22,0.96,0.04
8,24,0.94,0.04
8,26,0.9,0.08
8,28,0.88,0.1
8,30,0.84,0.16
8,32,0.82,0.12
8,34,0.84,0.1
8,36,0.9,0.08
8,38,0.78,0.14
8,40,0.84,0.08
8,42,0.92,0.08
8,44,0.94,0.06
8,46,0.92,0.08
8,48,0.94,0.06
9,0,0.88,0.12
9,2,0.32,0.0
9,4,0.26,0.0
9,6,0.0,0.74
9,8,0.1,0.0
9,10,0.16,0.0
9,12,0.22,0.0
9,14,0.26,0.0
9,16,0.82,0.12
9,18,0.24,0.0
9,20,0.98,0.02
9,22,0.86,0.12
9,24,0.28,0.0
9,26,0.24,0.0
9,28,0.12,0.0
9,30,0.3,0.0
9,32,0.3,0.0
9,34,0.18,0.0
9,36,0.24,0.0
9,38,0.24,0.0
